hanzi	traduccion_ming
姚明怎么样？姚明也很忙。	¿Cómo está Yao Ming? Yao Ming también está muy ocupado.
他叫什么名字？他叫马云。	¿Cómo se llama él? Se llama Ma Yun.
马云忙吗？马云很忙。	¿Ma Yun está ocupado? Ma Yun está muy ocupado.
米饭和面条儿	Arroz y fideos.
我也学习汉语。	Yo también estudio chino.
我爸爸妈妈都是上海人。	Tanto mi papá como mi mamá son de Shanghái.
我叫丁力波，我是加拿大人。	Me llamo Ding Libo y soy canadiense.
这是马大为，他是我朋友，他是美国人。	Este es Ma Dawei; es mi amigo y es estadounidense.
那是林娜，她也是我朋友，她是英国人。	Esa es Lin Na; ella también es mi amiga y es británica.
我和大为、林娜都学习汉语。	Dawei, Lin Na y yo estudiamos chino.
我姓林，叫林娜。	Mi apellido es Lin y me llamo Lin Na.
这是宋华，他是我朋友。	Este es Song Hua; es mi amigo.
宋华是北京人，喜欢吃饺子和面条儿。	Song Hua es de Pekín y le gusta comer jiaozi y fideos.
我也喜欢吃饺子，饺子很好吃。	A mí también me gusta comer jiaozi; están muy ricos.
那是陈老师，她是我们老师。	Esa es la profesora Chen; es nuestra profesora.
陈老师是上海人，她喜欢吃点心。	La profesora Chen es de Shanghái y le gusta comer bocadillos.
我没有妹妹。	No tengo hermana menor.
这是我们家的照片。	Esta es una foto de nuestra familia.
这张照片真漂亮！	¡Esta foto es realmente bonita!
晚上她还有英语课。	Por la noche también tiene clase de inglés.
他们有孩子。	Ellos tienen hijos.
小云晚上有英语课。	Xiaoyun tiene clase de inglés por la noche.
我们家有小狗。	Tenemos un perrito en casa.
林娜家有贝贝的照片。	En casa de Lin Na hay una foto de Beibei.
陆雨平的女儿	La hija de Lu Yuping.
我们班有十个人。	En nuestra clase hay diez personas.
那个朋友	Ese amigo.
我们家有四口人。	En nuestra familia somos cuatro.
你叫什么名字？你是哪国人？	¿Cómo te llamas? ¿De qué país eres?
你们家有几口人？他们做什么工作？	¿Cuántas personas hay en tu familia? ¿En qué trabajan?
你做什么工作？你喜欢做什么工作？	¿En qué trabajas? ¿Qué trabajo te gusta hacer?
你喜欢吃什么？你喜欢喝什么？	¿Qué te gusta comer? ¿Qué te gusta tomar?
你有几个好朋友？	¿Cuántos buenos amigos tienes?
请问，你叫什么名字？	Disculpa, ¿cómo te llamas?
你累吗？	¿Estás cansado?
我很忙。你呢？	Estoy muy ocupado. ¿Y tú?
我也很忙。	Yo también estoy muy ocupado.
我最近不太忙。	Últimamente no estoy muy ocupado.
她最近很累。	Ella está muy cansada últimamente.
大为不太饿。	Dawei no tiene mucha hambre.
我叫林娜。	Me llamo Lin Na.
宋华不渴。	Song Hua no tiene sed.
力波最近怎么样？	¿Cómo ha estado Libo últimamente?
我很忙。大为也很忙。	Estoy muy ocupado. Dawei también está muy ocupado.
她姓王，叫王小云。	Su apellido es Wang y se llama Wang Xiaoyun.
他姓陆，叫陆雨平。	Su apellido es Lu y se llama Lu Yuping.
我最近很好。	Últimamente estoy muy bien.
林娜最近不太忙。	Lin Na no está muy ocupada últimamente.
王小云很忙。	Wang Xiaoyun está muy ocupada.
宋华最近很累。	Song Hua está muy cansado últimamente.
陆雨平不太累。	Lu Yuping no está muy cansado.
早上好，陈老师！	¡Buenos días, profe Chen!
我是加拿大人。	Soy canadiense.
我姓林。	Mi apellido es Lin.
早上好，大为！	¡Buenos días, Dawei!
面条儿好吃吗？	¿Los fideos están ricos?
很好吃。	Está muy rico.
那不是包子，是饺子。	Eso no es baozi, es jiaozi.
那是面条儿。	Eso son fideos.
林娜是英国人。	Lin Na es británica.
他喜欢吃米饭。	A él le gusta comer arroz.
点心和饺子都很好吃。	Tanto los bocadillos como los jiaozi están muy ricos.
这是王小云，她是我朋友。	Esta es Wang Xiaoyun; es mi amiga.
我们都学习汉语。	Todos estudiamos chino.
你妈妈喜欢吃什么？	¿Qué le gusta comer a tu mamá?
饺子小，包子大。	Los jiaozi son pequeños y los baozi son grandes.
我叫陆雨平。	Me llamo Lu Yuping.
这是大卫，他是我朋友，刚到上海。	Este es Dawei; es mi amigo y acaba de llegar a Shanghái.
他是俄罗斯人。	Él es ruso.
他学习汉语。	Él estudia chino.
你看，这是我爸爸，那是我妈妈。	Mira, este es mi papá y esa es mi mamá.
我爸爸是西安人，他喜欢吃面条儿。	Mi papá es de Xi'an y le gusta comer fideos.
我妈妈是广州人，她喜欢吃点心。	Mi mamá es de Guangzhou y le gusta comer bocadillos.
你爸爸做什么工作？	¿En qué trabaja tu papá?
他是老师。	Él es profesor.
贝贝是我的小狗。	Beibei es mi perrito.
我们家有五口人。	En nuestra familia somos cinco.
她女儿今年几岁？	¿Cuántos años tiene su hija este año?
你明天晚上有课吗？	¿Tienes clase mañana por la noche?
你喝什么？	¿Qué tomas?
十岁。	Diez años.
没有。	No; no hay o no tengo, según la pregunta.
大为有三个中国朋友。	Dawei tiene tres amigos chinos.
他们家有八口人。	En su familia son ocho personas.
我妈妈喜欢吃面条儿。	A mi mamá le gusta comer fideos.
我要咖啡，还要点心。	Quiero café y también bocadillos.
我们家有五口人，爸爸、妈妈、两个姐姐和我。	En nuestra familia somos cinco: papá, mamá, dos hermanas mayores y yo.
我爸爸是汉语老师，我妈妈是英语老师。	Mi papá es profesor de chino y mi mamá es profesora de inglés.
玛丽有一个哥哥，她没有弟弟。	Mali tiene un hermano mayor; no tiene hermano menor.
陈老师的女儿今年五岁。	La hija del docente Chen tiene cinco años este año.
是，这是我们家的照片。	Sí, esta es una foto de nuestra familia.
这不是我哥哥，这是我弟弟。	Este no es mi hermano mayor; este es mi hermano menor.
我们家有四口人，爸爸、妈妈、姐姐和我。	En nuestra familia somos cuatro: papá, mamá, mi hermana mayor y yo.
我爸爸和我妈妈都是老师。	Tanto mi papá como mi mamá son profesores.
她是学生，她学习英语。	Ella es estudiante y estudia inglés.
有，明天我上午有英语课，下午和晚上还有钢琴课。	Sí. Mañana por la mañana tengo clase de inglés; por la tarde y por la noche también tengo clase de piano.
有，她有一个女儿。	Sí, ella tiene una hija.
她女儿今年九岁。	Su hija tiene nueve años este año.
我叫张华，这是我们家的照片。	Me llamo Zhang Hua; esta es una foto de nuestra familia.
我们家有五口人，爸爸、妈妈、姐姐、弟弟和我。	En nuestra familia somos cinco: papá, mamá, mi hermana mayor, mi hermano menor y yo.
我爸爸是律师，我妈妈是记者，他们都很忙。	Mi papá es abogado y mi mamá es periodista; ambos están muy ocupados.
我弟弟今年九岁，他很可爱。	Mi hermano menor tiene nueve años este año y es muy tierno.
你看，这是我女儿的照片，她今年八岁。	Mira, esta es una foto de mi hija; este año tiene ocho años.
她喜欢吃饺子，还喜欢吃面条儿，可是不喜欢吃米饭。	A ella le gusta comer jiaozi y también fideos, pero no le gusta comer arroz.
今天她有英语课，不在家。	Hoy tiene clase de inglés; no está en casa.
他们做什么工作？	¿En qué trabajan ellos?
他们喜欢吃什么？	¿Qué les gusta comer?
你们家有宠物吗？	¿Tienen mascotas en casa?
这是马大为，他是我朋友。	Este es Ma Dawei; es mi amigo.
我妈妈是北京人。	Mi mamá es de Pekín.
