hanzi	traduccion_ming
我吃面条。	Como fideos.
他是谁？	¿Quién es él?
他是梅西。	Él es Messi.
他是阿根廷人。	Él es argentino.
那是米饭。	Eso es arroz.
那是什么？	¿Qué es eso?
他是美国人。	Él es estadounidense.
王小云喜欢吃饺子。	A Wang Xiaoyun le gusta comer jiaozi.
王小云喜欢吃什么？	¿Qué le gusta comer a Wang Xiaoyun?
马大为学习汉语。	Ma Dawei estudia chino.
马大为学习什么？	¿Qué estudia Ma Dawei?
谁学习汉语？	¿Quién estudia chino?
这是我家。	Esta es mi casa.
我家在秘鲁。	Mi casa está en Perú.
我家有四口人，我妈妈、我爸爸、我哥哥和我。	En mi familia somos cuatro: mi mamá, mi papá, mi hermano mayor y yo.
你家有几口人？	¿Cuántas personas hay en tu familia?
我家有三口人。	En mi familia somos tres.
你说一下，你家有几口人？	Cuéntame, ¿cuántas personas hay en tu familia?
我家有三口人，妈妈、爸爸和我。	En mi familia somos tres: mamá, papá y yo.
我家有七口人。	En mi familia somos siete.
我家有三口人，爸爸、妈妈和我。	En mi familia somos tres: papá, mamá y yo.
我家有五口人。	En mi familia somos cinco.
你有弟弟吗？	¿Tienes un hermano menor?
我没有弟弟，我有一个哥哥。	No tengo hermano menor; tengo un hermano mayor.
三个朋友	Tres amigos.
我有三个朋友。	Tengo tres amigos.
四个老师	Cuatro profesores.
她认识四个老师。	Ella conoce a cuatro profesores.
五个学生	Cinco estudiantes.
那儿有五个学生。	Allí hay cinco estudiantes.
我家有两口人。	En mi familia somos dos.
这儿有两张照片。	Aquí hay dos fotos.
一个人	Una persona.
一本书	Un libro.
一杯酒	Una copa de una bebida alcohólica.
四杯酒	Cuatro copas de una bebida alcohólica.
六口人	Seis miembros de una familia.
两个姐姐	Dos hermanas mayores.
一个朋友	Un amigo.
三张照片	Tres fotos.
一张照片	Una foto.
这张照片	Esta foto.
那张照片	Esa foto.
这张照片很有意思。	Esta foto es muy interesante.
他家有两口人。	En su familia son dos personas.
我有两个好老师。	Tengo dos buenos profesores.
孔子学院有二十个汉语老师。	El Instituto Confucio tiene veinte profesores de chino.
两张卡片	Dos tarjetas.
