hanzi	pinyin_ming
你做什么工作？你喜欢做什么工作？	Nǐ zuò shénme gōngzuò? Nǐ xǐhuan zuò shénme gōngzuò?
你喜欢吃什么？你喜欢喝什么？	Nǐ xǐhuan chī shénme? Nǐ xǐhuan hē shénme?
你有几个好朋友？	Nǐ yǒu jǐ ge hǎo péngyou?
你累吗？	Nǐ lèi ma?
我也很忙。	Wǒ yě hěn máng.
我最近不太忙。	Wǒ zuìjìn bú tài máng.
她最近很累。	Tā zuìjìn hěn lèi.
大为不太饿。	Dàwéi bú tài è.
我叫林娜。	Wǒ jiào Lín Nà.
宋华不渴。	Sòng Huá bù kě.
力波最近怎么样？	Lìbō zuìjìn zěnmeyàng?
我很忙。大为也很忙。	Wǒ hěn máng. Dàwéi yě hěn máng.
她姓王，叫王小云。	Tā xìng Wáng, jiào Wáng Xiǎoyún.
他姓陆，叫陆雨平。	Tā xìng Lù, jiào Lù Yǔpíng.
我最近很好。	Wǒ zuìjìn hěn hǎo.
林娜最近不太忙。	Lín Nà zuìjìn bú tài máng.
王小云很忙。	Wáng Xiǎoyún hěn máng.
宋华最近很累。	Sòng Huá zuìjìn hěn lèi.
陆雨平不太累。	Lù Yǔpíng bú tài lèi.
早上好，陈老师！	Zǎoshang hǎo, Chén lǎoshī!
我是加拿大人。	Wǒ shì Jiānádà rén.
我姓林。	Wǒ xìng Lín.
早上好，大为！	Zǎoshang hǎo, Dàwéi!
面条儿好吃吗？	Miàntiáor hǎochī ma?
很好吃。	Hěn hǎochī.
那不是包子，是饺子。	Nà bú shì bāozi, shì jiǎozi.
那是面条儿。	Nà shì miàntiáor.
林娜是英国人。	Lín Nà shì Yīngguó rén.
他喜欢吃米饭。	Tā xǐhuan chī mǐfàn.
点心和饺子都很好吃。	Diǎnxin hé jiǎozi dōu hěn hǎochī.
这是王小云，她是我朋友。	Zhè shì Wáng Xiǎoyún, tā shì wǒ péngyou.
我们都学习汉语。	Wǒmen dōu xuéxí Hànyǔ.
你妈妈喜欢吃什么？	Nǐ māma xǐhuan chī shénme?
饺子小，包子大。	Jiǎozi xiǎo, bāozi dà.
我叫陆雨平。	Wǒ jiào Lù Yǔpíng.
这是大卫，他是我朋友，刚到上海。	Zhè shì Dàwèi, tā shì wǒ péngyou, gāng dào Shànghǎi.
他是俄罗斯人。	Tā shì Éluósī rén.
他学习汉语。	Tā xuéxí Hànyǔ.
你看，这是我爸爸，那是我妈妈。	Nǐ kàn, zhè shì wǒ bàba, nà shì wǒ māma.
我爸爸是西安人，他喜欢吃面条儿。	Wǒ bàba shì Xī'ān rén, tā xǐhuan chī miàntiáor.
我妈妈是广州人，她喜欢吃点心。	Wǒ māma shì Guǎngzhōu rén, tā xǐhuan chī diǎnxin.
你爸爸做什么工作？	Nǐ bàba zuò shénme gōngzuò?
他是老师。	Tā shì lǎoshī.
贝贝是我的小狗。	Bèibei shì wǒ de xiǎogǒu.
我们家有五口人。	Wǒmen jiā yǒu wǔ kǒu rén.
她女儿今年几岁？	Tā nǚ'ér jīnnián jǐ suì?
你明天晚上有课吗？	Nǐ míngtiān wǎnshang yǒu kè ma?
你喝什么？	Nǐ hē shénme?
十岁。	Shí suì.
没有。	Méiyǒu.
大为有三个中国朋友。	Dàwéi yǒu sān ge Zhōngguó péngyou.
他们家有八口人。	Tāmen jiā yǒu bā kǒu rén.
