hanzi	pinyin_ming
我们有作业。	Wǒmen yǒu zuòyè.
我们没有作业！	Wǒmen méiyǒu zuòyè!
我是Elsa。	Wǒ shì Elsa.
我叫Elsa。	Wǒ jiào Elsa.
我姓王。	Wǒ xìng Wáng.
我问你。	Wǒ wèn nǐ.
请问，您贵姓？	Qǐngwèn, nín guìxìng?
我们认识他。	Wǒmen rènshi tā.
我不认识你。	Wǒ bú rènshi nǐ.
他高兴吗？	Tā gāoxìng ma?
他很高兴。	Tā hěn gāoxìng.
他不高兴。	Tā bù gāoxìng.
我在大学。	Wǒ zài dàxué.
老师在这儿吗？	Lǎoshī zài zhèr ma?
他不在。	Tā bú zài.
我们太忙了。	Wǒmen tài máng le.
王老师太好了！	Wáng lǎoshī tài hǎo le!
他太困了。	Tā tài kùn le.
我不太累。	Wǒ bú tài lèi.
我叫Ana，你呢？	Wǒ jiào Ana, nǐ ne?
我不忙，你们呢？	Wǒ bù máng, nǐmen ne?
她吃早饭。	Tā chī zǎofàn.
我刚认识她。	Wǒ gāng rènshi tā.
我朋友很忙。	Wǒ péngyou hěn máng.
你朋友怎么样？	Nǐ péngyou zěnmeyàng?
她是你好朋友吗？	Tā shì nǐ hǎo péngyou ma?
老师好！	Lǎoshī hǎo!
你不是老师。	Nǐ bú shì lǎoshī.
他也是老师。	Tā yě shì lǎoshī.
这是我老师。	Zhè shì wǒ lǎoshī.
这是我朋友。	Zhè shì wǒ péngyou.
这是你男朋友吗？	Zhè shì nǐ nánpéngyou ma?
这是书。	Zhè shì shū.
我们老师是中国人。	Wǒmen lǎoshī shì Zhōngguó rén.
他不是我男朋友。	Tā bú shì wǒ nánpéngyou.
你刚认识她吗？	Nǐ gāng rènshi tā ma?
她是我朋友，她是中国人。	Tā shì wǒ péngyou, tā shì Zhōngguó rén.
他们是哪国人？	Tāmen shì nǎ guó rén?
你也是秘鲁人吗？	Nǐ yě shì Bìlǔ rén ma?
我很好。你爸爸妈妈好吗？	Wǒ hěn hǎo. Nǐ bàba māma hǎo ma?
他们都很好，你男朋友呢？	Tāmen dōu hěn hǎo, nǐ nánpéngyou ne?
他也很好。你忙吗？	Tā yě hěn hǎo. Nǐ máng ma?
我不忙，你呢？	Wǒ bù máng, nǐ ne?
我也不忙。你要喝什么？	Wǒ yě bù máng. Nǐ yào hē shénme?
我要咖啡。那是谁？	Wǒ yào kāfēi. Nà shì shéi?
那是我朋友，她是外语老师，他会说汉语和西班牙语。	Nà shì wǒ péngyou, tā shì wàiyǔ lǎoshī, tā huì shuō Hànyǔ hé Xībānyáyǔ.
她是哪国人？	Tā shì nǎ guó rén?
她是中国人。	Tā shì Zhōngguó rén.
你好，你是陈老师吗？我是林娜。	Nǐ hǎo, nǐ shì Chén lǎoshī ma? Wǒ shì Lín Nà.
我们都是中国人。	Wǒmen dōu shì Zhōngguó rén.
我喝咖啡，你要什么？	Wǒ hē kāfēi, nǐ yào shénme?
我爸爸、妈妈都不忙。	Wǒ bàba, māma dōu bù máng.
她哥哥是我们外语老师。	Tā gēge shì wǒmen wàiyǔ lǎoshī.
你奶奶也是医生吗？	Nǐ nǎinai yě shì yīshēng ma?
我很忙，我不喝咖啡，谢谢。	Wǒ hěn máng, wǒ bù hē kāfēi, xièxie.
那是你外婆吗？	Nà shì nǐ wàipó ma?
谁是你们老师？	Shéi shì nǐmen lǎoshī?
我哥哥也要喝水。	Wǒ gēge yě yào hē shuǐ.
你喜欢什么？	Nǐ xǐhuan shénme?
我喜欢……	Wǒ xǐhuan…
我不喜欢……	Wǒ bù xǐhuan…
你喜欢……吗？	Nǐ xǐhuan… ma?
我爱你。	Wǒ ài nǐ.
我喜欢你。	Wǒ xǐhuan nǐ.
你喜欢做什么？	Nǐ xǐhuan zuò shénme?
她们都是美国人。	Tāmen dōu shì Měiguó rén.
他们都学习汉语。	Tāmen dōu xuéxí Hànyǔ.
好吃	Hǎochī
你看！	Nǐ kàn!
看这儿。	Kàn zhèr.
看那儿！你老师在那儿！	Kàn nàr! Nǐ lǎoshī zài nàr!
王小云的爸爸是北京人。	Wáng Xiǎoyún de bàba shì Běijīng rén.
王小云的妈妈是上海人，她喜欢吃米饭和点心。	Wáng Xiǎoyún de māma shì Shànghǎi rén, tā xǐhuan chī mǐfàn hé diǎnxin.
包子大，饺子小。	Bāozi dà, jiǎozi xiǎo.
马大为要包子和饺子。	Mǎ Dàwéi yào bāozi hé jiǎozi.
你要喝什么？	Nǐ yào hē shénme?
喝咖啡	Hē kāfēi
喝茶	Hē chá
喝水	Hē shuǐ
喝牛奶	Hē niúnǎi
您要吃什么？	Nín yào chī shénme?
这是马大为。	Zhè shì Mǎ Dàwéi.
那不是饺子。	Nà bú shì jiǎozi.
她也是老师。	Tā yě shì lǎoshī.
我们都是秘鲁人。	Wǒmen dōu shì Bìlǔ rén.
这是面条。	Zhè shì miàntiáo.
这不是面条。	Zhè bú shì miàntiáo.
这是面条吗？	Zhè shì miàntiáo ma?
他是北京人。	Tā shì Běijīng rén.
他不是北京人。	Tā bú shì Běijīng rén.
他是北京人吗？	Tā shì Běijīng rén ma?
那是包子。	Nà shì bāozi.
那不是包子。	Nà bú shì bāozi.
那是包子吗？	Nà shì bāozi ma?
我是上海人。	Wǒ shì Shànghǎi rén.
我不是上海人。	Wǒ bú shì Shànghǎi rén.
你是上海人吗？	Nǐ shì Shànghǎi rén ma?
这是饺子。	Zhè shì jiǎozi.
你吃什么？	Nǐ chī shénme?
我吃面条。	Wǒ chī miàntiáo.
他是谁？	Tā shì shéi?
他是梅西。	Tā shì Méixī.
他是阿根廷人。	Tā shì Āgēntíng rén.
那是米饭。	Nà shì mǐfàn.
那是什么？	Nà shì shénme?
他是美国人。	Tā shì Měiguó rén.
王小云喜欢吃饺子。	Wáng Xiǎoyún xǐhuan chī jiǎozi.
王小云喜欢吃什么？	Wáng Xiǎoyún xǐhuan chī shénme?
马大为学习汉语。	Mǎ Dàwéi xuéxí Hànyǔ.
马大为学习什么？	Mǎ Dàwéi xuéxí shénme?
谁学习汉语？	Shéi xuéxí Hànyǔ?
这是我家。	Zhè shì wǒ jiā.
我家在秘鲁。	Wǒ jiā zài Bìlǔ.
我家有四口人，我妈妈、我爸爸、我哥哥和我。	Wǒ jiā yǒu sì kǒu rén, wǒ māma, wǒ bàba, wǒ gēge hé wǒ.
我家有三口人。	Wǒ jiā yǒu sān kǒu rén.
你说一下，你家有几口人？	Nǐ shuō yíxià, nǐ jiā yǒu jǐ kǒu rén?
我家有三口人，妈妈、爸爸和我。	Wǒ jiā yǒu sān kǒu rén, māma, bàba hé wǒ.
三个朋友	Sān ge péngyou
我有三个朋友。	Wǒ yǒu sān ge péngyou.
四个老师	Sì ge lǎoshī
她认识四个老师。	Tā rènshi sì ge lǎoshī.
五个学生	Wǔ ge xuésheng
那儿有五个学生。	Nàr yǒu wǔ ge xuésheng.
我家有两口人。	Wǒ jiā yǒu liǎng kǒu rén.
这儿有两张照片。	Zhèr yǒu liǎng zhāng zhàopiàn.
一个人	Yí ge rén
一本书	Yì běn shū
一杯酒	Yì bēi jiǔ
四杯酒	Sì bēi jiǔ
六口人	Liù kǒu rén
两个姐姐	Liǎng ge jiějie
一个朋友	Yí ge péngyou
三张照片	Sān zhāng zhàopiàn
这张照片	Zhè zhāng zhàopiàn
那张照片	Nà zhāng zhàopiàn
他家有两口人。	Tā jiā yǒu liǎng kǒu rén.
我有两个好老师。	Wǒ yǒu liǎng ge hǎo lǎoshī.
孔子学院有二十个汉语老师。	Kǒngzǐ Xuéyuàn yǒu èrshí ge Hànyǔ lǎoshī.
两张卡片	Liǎng zhāng kǎpiàn
她有一个中国朋友，还有一个秘鲁朋友。	Tā yǒu yí ge Zhōngguó péngyou, hái yǒu yí ge Bìlǔ péngyou.
我认识张老师，还认识王老师。	Wǒ rènshi Zhāng lǎoshī, hái rènshi Wáng lǎoshī.
我学习汉语，还学习英语。	Wǒ xuéxí Hànyǔ, hái xuéxí Yīngyǔ.
你有小猫吗？	Nǐ yǒu xiǎomāo ma?
我有两只小猫，他们很可爱。	Wǒ yǒu liǎng zhī xiǎomāo, tāmen hěn kě'ài.
一只猫	Yì zhī māo
三只狗	Sān zhī gǒu
你的工作是什么？	Nǐ de gōngzuò shì shénme?
这是我哥哥，他叫José。	Zhè shì wǒ gēge, tā jiào José.
你好，José，你做什么工作？	Nǐ hǎo, José, nǐ zuò shénme gōngzuò?
我是医生，你呢？	Wǒ shì yīshēng, nǐ ne?
